Date_Scraping;Ticker;Nom;Div_2022;Rend_2022_Pct;Div_2023;Rend_2023_Pct;Div_2024;Rend_2024_Pct;Div_2025;Rend_2025_Pct
2026-05-18;SDSC.ci;AFRICA GLOBAL LOGIST;83,0;3,22;92,0;6,59;92,0;6,81;;
2026-05-18;BOAB.bj;BANK OF AFRICA BENIN;273,0;10,3;353,0;11,87;468,0;14,72;585,0;15,88
2026-05-18;BOABF.bf;BANK OF AFRICA BURKI;224,0;7,23;352,0;13,54;428,0;12,26;397,0;13,08
2026-05-18;BOAC.ci;BANK OF AFRICA CI;270,0;4,61;342,0;9,24;459,0;13,31;595,0;11,9
2026-05-18;BOAM.ml;BANK OF AFRICA MALI;;;96,0;10,29;237,0;24,12;305,0;16,14
2026-05-18;BOAN.ne;BANK OF AFRICA NIGER;355,0;11,12;381,0;10,53;209,0;6,21;;
2026-05-18;BOAS.sn;BANK OF AFRICA SENEG;125,0;7,98;200,0;12,24;350,0;16,41;450,0;14,29
2026-05-18;BICB.bj;BANQUE INTERNATIONAL;;;;;255,0;;;
2026-05-18;BNBC.ci;BERNABE;150,0;6,9;;;;;;
2026-05-18;BICC.ci;BICICI;402,0;5,43;541,0;7,9;831,0;11,09;;
2026-05-18;CFAC.ci;CFAO CI;29,0;2,41;16,0;1,71;7,0;0,84;;
2026-05-18;CIEC.ci;CIE CI;158,0;8,31;171,0;8,59;158,0;9,32;;
2026-05-18;CBIBF.bf;CORIS BANK INTERNATI;525,0;5,0;790,0;9,42;555,0;5,97;900,0;9,1
2026-05-18;ECOC.ci;ECOBANK CI;549,0;11,47;594,0;12,01;708,0;10,41;781,0;8,88
2026-05-18;ETIT.tg;ETI TG;1,0;3,36;;;;;1,0;5,82
2026-05-18;FTSC.ci;FILTISAC CI;;;130,0;8,13;1727,0;93,83;;
2026-05-18;LNBB.bj;LOTERIE NATIONALE DU;107,0;;;;276,0;;164,0;3,47
2026-05-18;NEIC.ci;NEI CEDA CI;35,0;5,64;82,0;10,22;;;140,0;18,72
2026-05-18;NTLC.ci;NESTLE CI;728,0;15,81;675,0;8,19;722,0;9,78;370,0;4,64
2026-05-18;NSBC.ci;NSIA BANQUE;364,0;5,88;455,0;7,62;671,0;11,18;;
2026-05-18;ONTBF.bf;ONATEL BF;288,0;7,3;266,0;8,33;195,0;8,55;145,0;6,33
2026-05-18;ORAC.ci;ORANGE CI;753,0;7,37;780,0;7,64;660,0;6,06;704,0;4,02
2026-05-18;PALC.ci;PALMCI;1214,0;17,36;563,0;5,42;451,0;6,68;441,0;8,83
2026-05-18;SPHC.ci;SAPH CI;294,0;5,67;65,0;1,3;324,0;13,79;430,0;10,39
2026-05-18;ABJC.ci;SERVAIR ABIDJAN CI;83,0;4,73;206,0;15,91;;;121,0;6,37
2026-05-18;SGBC.ci;SGBCI;1107,0;10,45;1547,0;13,33;1639,0;10,21;2293,0;10,92
2026-05-18;CABC.ci;SICABLE CI;69,0;6,8;80,0;6,8;113,0;10,16;152,0;14,62
2026-05-18;STBC.ci;SITAB;540,0;8,74;675,0;9,85;2090,0;35,16;;
2026-05-18;SMBC.ci;SMB CI;720,0;10,43;1080,0;15,88;616,0;5,85;704,0;8,18
2026-05-18;SIBC.ci;SOCIETE IVOIRIENNE D;248,0;6,21;248,0;5,4;330,0;12,34;374,0;10,52
2026-05-18;SDCC.ci;SODECI;450,0;10,48;482,0;8,82;352,0;7,38;462,0;8,13
2026-05-18;SOGC.ci;SOGB;554,0;11,09;207,0;3,65;528,0;16,15;502,0;10,88
2026-05-18;SLBC.ci;SOLIBRA CI;;;270,0;3,24;1074,0;12,34;;
2026-05-18;SNTS.sn;SONATEL;1500,0;10,73;1575,0;10,36;1655,0;9,2;1740,0;7,25
2026-05-18;TTLC.ci;TOTAL CI;176,0;8,36;200,0;10,55;196,0;10,87;140,0;5,6
2026-05-18;TTLS.sn;TOTAL SENEGAL;234,0;11,85;208,0;8,19;222,0;8,9;;
2026-05-18;PRSC.ci;TRACTAFRIC MOTORS CI;224,0;5,34;183,0;5,73;182,0;9,59;184,0;8,36
2026-05-18;SHEC.ci;VIVO ENERGY CI;53,0;6,16;57,0;7,6;75,0;9,49;;
